Slug,Admin URL,Title,Lead organisations,Supporting organisations,Document type,Content sub-type,State,History-mode applied,New lead organisations,New supporting organisations
/guidance/welcome-points-and-travelling-to-your-sponsor-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1530497,Travelling to your sponsor: Homes for Ukraine,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/meet-your-guests-and-help-them-settle-in-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1530500,Meet your guests and help them settle in: Homes for Ukraine,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/new-homes-bonus-grant-determination-2024-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1552513,New Homes Bonus Grant Determination 2024 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,draft,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/housing-supply-and-delivery,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1530574,Housing supply and delivery,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/english-housing-survey-local-authority-stock-condition-modelling,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1530927,English Housing Survey: local authority stock condition modelling,"Department for Levelling Up, Housing and Communities ",,Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/funding-guarantee-grant-determination-2024-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1552517,Funding Guarantee Grant Determination 2024 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/rural-services-delivery-grant-determination-2024-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1552591,Rural Services Delivery Grant Determination 2024 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/aggregates-working-parties-annual-reports,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1531085,Aggregates working parties: annual reports,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/the-building-safety-act,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1531435,The Building Safety Act,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/services-grant-determination-2024-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1552595,Services Grant Determination 2024 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/windrush-day-grant-scheme-2024,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1553127,Windrush Day Grant Scheme 2024,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/nottingham-city-council-explanatory-memorandum-updated-11-april-2024,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1553156,Nottingham City Council: Explanatory Memorandum (updated 11 April 2024),"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/viability,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1532262,Viability,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/key-information-table-for-local-authorities-final-local-government-finance-settlement-2024-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1553210,Key information table for local authorities: final local government finance settlement 2024 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/natural-environment,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1532386,Natural environment,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
