_id,title,content_id,contact
/government/consultations/low-pay-commission-consultation-2018,Low Pay Commission consultation 2018,d307e757-ec23-490e-926f-8395707f4747,<h3>General enquiries</h3>
/government/consultations/low-pay-commission-consultation-2020,Low Pay Commission consultation 2020,04db3627-3f78-45a4-9785-f0985e216184,<h3>General enquiries</h3>
/government/groups/bus-service-operator-grant-team,Bus service operator grant team,a9a18a14-9c72-45b6-84b5-a5c0da4b586b,"<h3>
<abbr title=""Bus Service Operators Grant"">BSOG</abbr> enquiries</h3>"
/government/groups/independent-high-risk-agp-panel,Independent High Risk AGP Panel,08290b48-15bf-4275-bf86-f69f50596aee,"<h3>Independent High Risk <abbr title=""aerosol generating procedure"">AGP</abbr> Panel Secretariat</h3>"
/government/groups/ministry-of-defence-research-ethics-committees,Ministry of Defence Research Ethics Committee,c6181261-bd28-4082-8707-0513222436f2,"<h3>
<abbr title=""Ministry of Defence"">MOD</abbr> Research Ethics Committee (<abbr title=""Ministry of Defence Research Ethics Committees"">MODREC</abbr>)</h3>"
/government/groups/national-transport-casework-team,National transport casework team,f09022d6-0d21-40cb-b8ce-ab32662fd7a6,<h3>National Transport Casework team</h3>
/government/groups/pharmacy-and-public-health-forum,Pharmacy and Public Health Forum,97336f55-f2e2-460e-946d-c13a6838c01b,<h3>Pharmacy and Public Health Forum Secretariat</h3>
/government/groups/standards-for-microbiology-investigations-steering-committee,UK Standards for Microbiology Investigations Steering Committee,25d122b0-5a18-4a7f-9887-d358a2ba591d,<h3>UK standards for microbiology investigations</h3>
/government/groups/transport-and-works-act-team,Transport Infrastructure Planning Unit,a0ac711c-edde-41c1-ac5d-d123388bd726,<h3>Transport Infrastructure Planning Unit (TIPU)</h3>
/government/groups/uk-clinical-mycology-network,UK Clinical Mycology Network,f6b0da14-5b92-466a-b968-00a3416d325e,<h3>UK Clinical Mycology Network</h3>
/government/groups/uk-national-screening-committee-uk-nsc,UK National Screening Committee,eb6556f5-e0c9-4f26-a3d4-66e7f17657d8,<h3>Population screening helpdesk</h3>
/government/groups/uk-nutrition-and-health-claims-committee,UK Nutrition and Health Claims Committee (UKNHCC),7736b39b-31fb-4f61-801c-237a1ca8f0d9,"<h3>
<abbr title=""UK Nutrition and Health Claims Committee"">UKNHCC</abbr> Secretariat</h3>"
/government/news/1-7-million-gold-standard-sets-new-homelessness-benchmark,£1.7 million Gold Standard sets new homelessness benchmark,5e0f874e-7631-11e4-a3cb-005056011aef,<h3>Media enquiries</h3>
/government/news/1-in-10-men-aged-50-have-a-heart-age-10-years-older-than-they-are,1 in 10 men aged 50 have a heart age 10 years older than they are,cee057f6-f6e7-45c7-95e0-0ada135f8346,"<h3>
<abbr title=""Public Health England"">PHE</abbr> press office: Jamie Mills</h3>"
/government/news/1-in-3-suffolk-childrens-primary-school-is-not-good-enough,1 in 3 Suffolk children's primary school is not good enough,6024bcb0-7631-11e4-a3cb-005056011aef,<h3>Media enquiries</h3>
/government/news/1-million-development-fund-for-technology-to-cut-road-works-disruption,£1 million development fund for technology to cut road works disruption,5c774e04-7631-11e4-a3cb-005056011aef,<h3>Roads media enquiries</h3>
/government/news/1-million-driving-licences-issued-online-since-april,1 million driving licences issued online since April,5e30a8a2-7631-11e4-a3cb-005056011aef,<h3>Press office</h3>
/government/news/1-million-for-local-charities-responding-to-grenfell-tower-disaster,£1 million for local charities responding to Grenfell Tower disaster,9c04588e-f911-4af4-a3ce-2b52bb586007,<h3>Office address and general enquiries</h3>
/government/news/1-million-fraudulent-art-investment-companies-wound-up-by-courts,£1 million fraudulent art investment companies wound-up by courts,1f219247-39cc-40c7-bb4b-e9dc39d350a4,<h3>Press Office</h3>
/government/news/1-million-from-adoption-support-fund-helps-over-160-families,£1 million from Adoption Support Fund helps over 160 families,766750c3-55fd-4516-9831-918511e5d4fc,<h3>DfE enquiries</h3>
/government/news/1-million-funding-boost-for-south-yorkshire-flood-charity,£1 million funding boost for South Yorkshire flood charity,69a6f0b9-f01f-4ba6-8a2b-38c135908857,<h3>Office address and general enquiries</h3>
/government/news/1-million-funding-for-communities-to-create-their-own-pocket-parks,£1 million funding for communities to create their own pocket parks,3b922a3f-d57a-4dd9-a33c-fb607fc6d230,<h3>Office address and general enquiries</h3>
/government/news/1-million-in-grants-paid-out-as-childcare-scheme-hits-milestone,£1 million in grants paid out as childcare scheme hits milestone,5fed2783-7631-11e4-a3cb-005056011aef,<h3>DfE enquiries</h3>
/government/news/1-million-of-charity-funds-returned-after-commission-inquiry,£1 million of charity funds returned after Commission inquiry,8dfee690-d57a-4e6e-a7be-9899e572ac0b,<h3>Press office</h3>
/government/news/1-million-to-boost-haulage-sector-and-combat-long-term-unemployment,£1 million to boost haulage sector and combat long-term unemployment,a873dbcd-b92a-4613-bd87-55229ca160ae,<h3>Roads media enquiries</h3>
/government/news/1-million-to-help-schools-recruit-high-calibre-governors,£1 million to help schools recruit high-calibre governors,da508b1d-d332-482c-baec-2ab5db87068a,"<h3>
<abbr title=""Department for Education"">DfE</abbr> enquiries</h3>"
/government/news/10-billion-housing-guarantees-open-for-business,£10 billion housing guarantees open for business,5e35d7a7-7631-11e4-a3cb-005056011aef,<h3>Media enquiries</h3>
/government/news/10-million-literacy-catch-up-programme-for-disadvantaged-pupils,£10 million literacy catch-up programme for disadvantaged pupils,5e28f029-7631-11e4-a3cb-005056011aef,<h3>DfE enquiries</h3>
/government/news/10-million-support-for-women-facing-the-threat-of-domestic-violence,£10 million support for women facing the threat of domestic violence,355e2fb4-8679-4ab1-88ad-c02724f09166,<h3>Office address and general enquiries</h3>
/government/news/10-million-transport-boost-for-cornwall-and-scilly,£10 million transport boost for Cornwall and Scilly,5fe61833-7631-11e4-a3cb-005056011aef,<h3>News desk enquiries</h3>
/government/news/10-year-disqualification-for-acting-as-a-company-director-while-bankrupt,10 year disqualification for acting as a company director while bankrupt,57831475-029c-42d3-9285-715a07ae4889,<h3>Press Office</h3>
/government/news/10-year-disqualification-for-director-who-failed-to-cooperate-and-deliver-up-records,10 year disqualification for director who failed to cooperate and deliver up records,91c32afe-a93e-488e-9c35-b464fc0c3966,<h3>Press Office</h3>
/government/news/10-year-disqualification-served-on-takeaway-company-director,10 year disqualification served on takeaway company director,7c7da870-46de-49c7-b46f-7e605dd1b131,<h3>Press Office</h3>
/government/news/10-year-investigation-ends-as-final-offenders-are-sentenced,10-year investigation ends as final offenders are sentenced,d4b67ba5-5022-4aa8-b2e4-8ee1901410ec,<h3>Press Office</h3>
/government/news/10-year-restriction-for-bankrupt-who-failed-to-pay-hmrc-with-his-only-asset-and-then-failed-to-pay-the-official-receiver,10 year restriction for bankrupt who failed to pay HMRC with his only asset and then failed to pay the Official Receiver,5e383ff6-4854-44a3-b07a-61b81c8f671a,<h3>Press Office</h3>
/government/news/100-councils-set-to-freeze-council-tax-as-authorities-sit-on-30-billion,100 councils set to freeze Council Tax as authorities sit on £30 billion,3db49d39-c4b0-4bcc-a63a-4ab7cf78469a,<h3>Office address and general enquiries</h3>
/government/news/100-million-boost-for-small-housebuilders,£100 million boost for small housebuilders,656f6004-8e9d-4a14-8e02-e554fbbc7a51,<h3>Office address and general enquiries</h3>
/government/news/100-million-fund-will-put-power-in-the-hands-of-tenants,£100 million fund will put power in the hands of tenants,5fa8ea5e-7631-11e4-a3cb-005056011aef,<h3>Office address and general enquiries</h3>
/government/news/100-million-investment-to-give-enterprise-zones-business-edge,£100 million investment to give enterprise zones business edge,5e97872d-7631-11e4-a3cb-005056011aef,<h3>Media enquiries</h3>
/government/news/100-million-migration-fund-helps-alleviate-council-pressures-across-england,£100 million migration fund helps alleviate council pressures across England,80cd3087-bc10-439b-a2dc-00e990b7b5f4,<h3>Office address and general enquiries</h3>
/government/news/100-million-to-support-the-education-of-children-in-care,£100 million to support the education of children in care,5e96a33d-7631-11e4-a3cb-005056011aef,<h3>DfE enquiries</h3>
/government/news/100-year-old-retired-scientist-makes-an-emotional-return-to-porton-down,100 year old retired scientist makes an emotional return to Porton Down,8e9f350e-ec70-4e4a-9852-6fb1b9847247,"<h3>
<abbr title=""Defence Science and Technology Laboratory"">Dstl</abbr> Media Enquiries</h3>"
/government/news/100-years-of-defence-operations-at-porton-down,100 years of defence operations at Porton Down,17187bda-79df-4df3-9c42-e317d04bb000,"<h3>
<abbr title=""Defence Science and Technology Laboratory"">Dstl</abbr> Media Enquiries</h3>"
/government/news/1000-new-homes-for-private-rent-in-london,"1,000 new homes for private rent in London",1928cdd9-2c01-4d2d-8934-0dc89e36d1b2,<h3>Office address and general enquiries</h3>
/government/news/10000-jumbo-jets-fly-towards-better-retirement-with-automatic-enrolment,"10,000 jumbo jets fly towards better retirement with automatic enrolment",5fe6813f-7631-11e4-a3cb-005056011aef,<h3>Press Office</h3>
/government/news/10000-people-helped-into-work-by-world-leading-dwp-employee,"10,000 people helped into work by world-leading DWP employee",5e9d310d-7631-11e4-a3cb-005056011aef,<h3>Press Office</h3>
/government/news/100000-boost-for-tech-innovators-seeking-to-improve-disabled-peoples-lives,"£100,000 boost for tech innovators seeking to improve disabled people’s lives",184334cd-4c47-4e15-bef2-9f238f928900,<h3>Press Office</h3>
/government/news/100000-for-research-into-automation-and-machine-intelligence,"£100,000 for Research into Automation and Machine Intelligence",a32e1629-f582-4d82-8fee-1023d6889296,<h3>Dstl Media Enquiries</h3>
/government/news/100000-fund-to-boost-mental-health-support-across-cornwall,"£100,000 fund to boost mental health support across Cornwall",8bc8a082-4053-4db5-a42e-9c1ae6dd180a,<h3>Press Office</h3>
