attachment_data_id,attachment_content_id,asset_manager_id
944841,bcfe35cf-964b-4f41-82e1-8ff15a8e2df9,5fd9f18a8fa8f54d6249eac2
944841,bcfe35cf-964b-4f41-82e1-8ff15a8e2df9,5fd9f18ad3bf7f40cb84c658
545185,f8c47180-e02c-40f9-b399-90e3a94fcbf7,5a81572240f0b62305b8e6c5
533852,71199640-2d43-41c9-8236-d63d67d2a260,5a8173ade5274a2e87dbdb46
632635,ec68135e-d56a-4cec-957f-7d727d0681de,5a82c4c6ed915d74e62378a2
920310,a086b82d-9d0d-4d86-82b0-ed625becbac4,5f6a4fd5d3bf7f72306ab70e
1057266,c01bb678-5342-4d7a-9d67-9e9f398847f5,6217b3be8fa8f549142bf386
843191,a27816d3-2144-436f-90a0-9f52dfaa4b65,5db98d64e5274a4a9b0a2c2d
843191,a27816d3-2144-436f-90a0-9f52dfaa4b65,5db98d6340f0b637a38efad0
901050,331d17c6-8526-4b64-8736-baccda131d67,5f0f20a23a6f4003817690ff
901050,331d17c6-8526-4b64-8736-baccda131d67,5f0f20a23a6f40038fc56f20
924287,73b00a01-4c58-48a6-9c84-ef386ef60ad4,5f7b3c018fa8f55453b9dfe9
924287,73b00a01-4c58-48a6-9c84-ef386ef60ad4,5f7b3c018fa8f5545098fe79
812485,9d1d7a30-be26-4b2b-baad-570a8a2137ce,5d13907e40f0b635231864b5
812485,9d1d7a30-be26-4b2b-baad-570a8a2137ce,5d13907d40f0b635231864b4
814975,8c875f9a-c9e0-423f-89b6-3b50fbbc97f6,5d1f632e40f0b609c92101de
814975,8c875f9a-c9e0-423f-89b6-3b50fbbc97f6,5d1f632e40f0b609ccf7e569
821053,76adc1e2-5638-43e4-a557-53094f3a6aa3,5d39c91ee5274a40181b0d10
