policies_to_remove,policies_to_add,slug
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,school-and-college-performance-tables-in-england-key-stage-5-2010-to-2011
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,primary-school-performance-tables-2011
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,school-and-college-key-stage-5-performance-tables-england-academic-year-2009-to-2010-formerly-achievement-and-attainment-tables
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,secondary-school-key-stage-4-performance-tables-in-england-2009-to-2010-formerly-achievement-and-attainment-tables
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,primary-school-key-stage-2-performance-tables-england-academic-year-2009-to-2010
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,intervening-in-failing-underperforming-and-coasting-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,commission-on-assessment-without-levels-government-response
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,english-baccalaureate-ebacc
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,have-your-say-on-measures-to-transform-failing-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,hundreds-of-coasting-schools-to-be-transformed
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,nicky-morgan-hails-inspection-figures-as-cause-for-celebration
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,pupils-destinations-data-to-help-parents-choose-the-best-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,parents-to-be-given-key-information-on-schools-performance
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,step-change-in-ambition-will-mean-higher-standards-for-all
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,new-tests-show-1-in-4-struggling-with-spelling-punctuation-and-grammar
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,new-tables-will-give-parents-and-young-people-the-full-facts-on-performance-of-colleges-and-school-sixth-forms
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,package-of-primary-school-measures-will-raise-ambition-and-standards
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,key-stage-4-and-key-stage-5-performance-tables
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,primary-schools-test-results-released
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,performance-tables-only-the-highest-quality-qualifications-to-be-included
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,new-data-reveals-the-truth-about-school-performance
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,primary-schools-test-results-released--2
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,performance-table-reform-and-transparency-will-raise-standards-and-end-perverse-incentives
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,education-bill-gives-secretary-of-state-new-powers-to-intervene-in-underperforming-schools
