base_path,status,document_id,edition_id,locale,content_store,errors
/guidance/housing-for-service-personnel-and-families,200,36524,604126,en,content-store,"expected withdrawn notice: '<div class=""govspeak""><p>See <a rel=""external"" href=""https://www.gov.uk/government/collections/joint-service-housing-advice-office-jshao"">Joint Service Housing Advice Office</a> for the latest information on civilian housing.</p>

<p>Visit our <a rel=""external"" href=""https://www.gov.uk/government/publications/services-cotswold-centre"">Services Cotswold Centre</a> guide for their contact details and application form.</p>
</div>' but got ''"
/guidance/british-forces-overseas-falkland-islands-and-ascension-island,200,36551,652710,en,content-store,organisations should contain '28441569-a901-4d7a-8b11-c0411ad008e2' but doesn't
/guidance/maritime-anti-piracy-documentation-service,200,38214,95211,en,draft-content-store,details body doesn't match
/guidance/maritime-anti-piracy-documentation-service,200,38214,95211,en,content-store,details body doesn't match
/guidance/oil-and-gas-offshore-maps-and-gis-shapefiles,200,51273,653742,en,draft-content-store,details body doesn't match
/guidance/oil-and-gas-offshore-maps-and-gis-shapefiles,200,51273,653742,en,content-store,details body doesn't match
/guidance/eu-ets-carbon-markets,200,51323,653000,en,draft-content-store,details body doesn't match
/guidance/wave-and-tidal-energy-part-of-the-uks-energy-mix,200,54227,507368,en,draft-content-store,details body doesn't match
/guidance/wave-and-tidal-energy-part-of-the-uks-energy-mix,200,54227,507368,en,content-store,details body doesn't match
/guidance/drink-drive-rehabilitation-scheme-ddrs-guidance-for-course-providers-from-june-2013,200,54284,644625,en,draft-content-store,details body doesn't match
/guidance/drink-drive-rehabilitation-scheme-ddrs-guidance-for-course-providers-from-june-2013,200,54284,644625,en,content-store,details body doesn't match
/guidance/girls-education-challenge,200,55135,648545,en,content-store,the links key 'related_guides' is not present
